date,ticker,market_cap,eps_ttm
2023-06-01,PTC,15.986,2.7
2023-06-01,UAL,15.549,5.97
2023-06-01,LPLA,15.338,12.99
2023-06-01,RKT,16.038,1.8
2023-06-01,CINF,15.273,0.02
2023-06-01,CPB,15.168,2.71
2023-06-01,LNNGY,14.424,5.32
2023-06-01,WAT,15.115,11.27
2023-06-01,IEX,15.215,7.73
2023-06-01,FOXA,15.33,2.12
2023-06-01,JRONY,16.234,2.19
2023-06-01,RE,14.736,16.94
2023-06-01,TS,15.58,5.38
2023-06-01,HBAN,15.1,1.55
2023-06-01,NTRS,15.217,5.88
2023-06-01,DGX,15.015,6.83
2023-06-01,CHKP,14.996,6.58
2023-06-01,EPAM,14.936,7.3
2023-06-01,NTAP,15.393,5.79
2023-06-01,FDS,14.956,11.51
2023-06-01,BLDR,14.83,15.96
2023-06-01,EXAS,15.131,-2.94
2023-06-01,MGA,13.95,1.54
2023-06-01,PHM,15.023,11.53
2023-06-01,CCL,15.438,-4.09
2023-06-01,MGM,14.232,4.79
2023-06-01,WRB,14.841,3.88
2023-06-01,RVTY,14.51,2.8
2023-06-01,WPC,14.804,3.56
2023-06-01,IPG,14.573,2.3
2023-06-01,RPRX,14.867,0.75
2023-06-01,J,14.058,6.04
2023-06-01,DT,15.026,0.38
2023-06-01,LCID,11.923,-1.55
2023-06-01,AMCR,14.302,0.65
2023-06-01,AXON,14.196,1.85
2023-06-01,AGR,14.429,1.75
2023-06-01,MRO,13.878,4.14
2023-06-01,LKQ,13.92,4.18
2023-06-01,OKTA,12.125,-5.5
2023-06-01,KB,14.203,8.12
2023-06-01,WLK,13.438,14.56
2023-06-01,EXPE,14.614,1.97
2023-06-01,SMPNY,14.081,0.79
2023-06-01,VIV,13.623,0.49
2023-06-01,RIVN,13.696,-6.95
2023-06-01,BG,13.707,10.18
2023-06-01,CBOE,14.105,2.79
2023-06-01,RS,13.652,28.02
2023-06-01,OWL,14.353,0.03
2023-06-01,BSY,14.49,0.51
